asset_tag,task,frequency,last_done,next_due
P-3401,Seal & flush inspection,Annual,2025-05-01,2026-05-01
P-3402,Seal & flush inspection,Annual,2025-05-01,2026-05-01
P-3105,Seal & flush inspection,Annual,2025-04-15,2026-04-15
P-2210,Alignment & vibration check,Quarterly,2026-04-01,2026-07-01
E-3110,Tube-side cleaning,Annual,2025-11-01,2026-11-01
A-2110,Gearbox oil change,Annual,2025-09-01,2026-09-01
C-4110,Oil & filter change,Semi-annual,2026-01-10,2026-07-10
CV-3101,Stroke & calibration,Annual,2025-12-01,2026-12-01
TK-4201,External inspection,Annual,2025-08-01,2026-08-01
M-3401,IR test & greasing,Annual,2025-05-01,2026-05-01
