wo_number,asset_tag,opened_on,closed_on,raw_description,actions_taken,downtime_hours
WO-2020-2018,P-1102,2020-01-01,2020-01-04,Vibration traced to shaft misalignment across the coupling; laser alignment carried out and readings brought within tolerance.,Laser alignment carried out; within tolerance.,9.0
WO-2020-2021,P-2202,2020-01-01,2020-01-02,Packing leak noted. Action: adjust gland. Status: monitor.,Renewed packing rings.,5.1
WO-2020-2047,A-2120,2020-01-07,2020-01-08,"Bearing check: noise Y, temp 76C, vib high. Recommend replace.",Renewed bearings; realigned.,10.1
WO-2020-2007,P-3401,2020-01-16,2020-01-20,"brg noisy DE side, temp 78C, vib high",Replaced DE/NDE bearings.,6.7
WO-2020-2051,C-4110,2020-01-18,2020-01-21,Vibration survey: overall high. Root cause: not isolated. Action: monitor and trend.,Logged vibration; continued trending.,1.1
WO-2020-2050,A-3110,2020-02-04,2020-02-05,"grease contam'd, relubed brgs, oil grade wrong earlier",Re-lubricated bearings; sample sent.,1.2
WO-2020-2048,A-3110,2020-02-09,2020-02-13,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Renewed bearings; realigned.,6.1
WO-2020-2068,TK-3201,2020-02-19,2020-02-20,"External and internal shell corrosion observed on tank during inspection; plate thickness reducing, coating and patch repair planned.",Recoated affected area.,23.0
WO-2020-2073,TK-4202,2020-02-27,2020-02-28,"wall thin, corrosion, UT low, patch",Patch-repaired thinned section.,18.7
WO-2020-2035,M-2201,2020-03-01,2020-03-01,"megger low, earth fault, motor out",Dried out windings; IR restored.,19.1
WO-2020-2020,P-2201,2020-03-02,2020-03-03,"brg NDE rumbling, vib 6.2 mm/s, plan replace",Replaced DE/NDE bearings.,9.7
WO-2020-2039,M-4101,2020-03-06,2020-03-06,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Re-lubricated bearings; sample sent.,1.8
WO-2020-2062,CV-2101,2020-03-08,2020-03-12,"gauge reading off vs field, recalibrated",Bench-calibrated and reinstalled.,1.6
WO-2020-2012,P-3402,2020-03-20,2020-03-23,"grease contam'd, relubed brgs, oil grade wrong earlier",Drained and refilled correct grade lube.,2.1
WO-2020-2043,E-3110,2020-03-20,2020-03-21,"hx dP high, outlet temp up, tubes fouled",Hydrojetted tubes; duty restored.,8.4
WO-2020-2061,CV-2101,2020-03-20,2020-03-21,"topped up oil, wiped down, running fine",Routine work completed.,1.8
WO-2020-2010,P-3402,2020-04-04,2020-04-07,"chk'd flush plan, line partially blocked, strainer dirty",Backflushed flush line; strainer cleaned.,5.3
WO-2020-2034,M-1101,2020-04-05,2020-04-06,"Motor bearing check: DE ok, NDE noisy. Action: replace NDE bearing.",Replaced motor bearings.,9.9
WO-2020-2030,M-3105,2020-04-07,2020-04-09,"motor tripped on OL, winding hot, smell",Cleaned motor cooling path; monitored winding temp.,6.2
WO-2020-2054,C-4110,2020-04-07,2020-04-10,"Motor tripped on thermal overload; winding temperature elevated, phase currents checked for imbalance.",Cleaned motor cooling path; monitored winding temp.,16.6
WO-2020-2053,C-4110,2020-04-08,2020-04-08,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Closed after inspection.,1.5
WO-2020-2029,M-3402,2020-04-10,2020-04-11,checked pump running normal no issue closed wo,Closed after inspection.,3.8
WO-2020-2072,TK-4202,2020-04-11,2020-04-14,attended complaint found nothing wrong equipment ok,Closed after inspection.,3.1
WO-2020-2017,P-1102,2020-04-14,2020-04-17,"routine pm done, greased, checked, all ok",Routine work completed.,3.1
WO-2020-2028,M-3401,2020-04-16,2020-04-17,Vibration survey: overall high. Root cause: not isolated. Action: monitor and trend.,Monitoring; further diagnosis planned.,3.5
WO-2020-2041,E-2110,2020-04-17,2020-04-21,"tube leak on hx, hydrotest, plugged 2 tubes",Plugged leaking tube(s).,21.7
WO-2020-2065,CV-3201,2020-04-17,2020-04-20,"cv passing when shut, seat eroded",Replaced valve trim.,6.1
WO-2020-2019,P-2201,2020-04-18,2020-04-19,"pump crackling, flow swinging, suction low",Cleared suction restriction; verified NPSH.,7.3
WO-2020-2069,TK-3201,2020-04-20,2020-04-21,"tank shell corroded, roof rusty, coat",Patch-plated corroded section.,20.9
WO-2020-2046,E-4110,2020-05-03,2020-05-06,"routine pm done, greased, checked, all ok",Routine work completed.,1.6
WO-2020-2032,M-3105,2020-05-12,2020-05-14,"oil dark, water in oil, changed",Re-lubricated bearings; sample sent.,5.0
WO-2020-2040,E-1110,2020-05-14,2020-05-15,"Wall thinning found on casing/piping from corrosion-erosion during inspection; UT readings logged, repair planned.",Patch-repaired thinned section.,9.3
WO-2020-2058,C-4210,2020-05-20,2020-05-21,"Lube check: level low, colour dark. Action: drain and refill correct grade.",Drained and refilled correct grade lube.,2.0
WO-2020-2055,C-4110,2020-06-04,2020-06-07,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Renewed joint; leak-tested.,5.5
WO-2020-2067,TK-1201,2020-06-04,2020-06-04,"flange weeping, gasket blown, replaced",Renewed joint; leak-tested.,4.4
WO-2020-2074,TK-4203,2020-06-10,2020-06-12,"Joint leak noted. Action: replace gasket, bolt-up to torque.",Replaced gasket; bolted to torque.,2.9
WO-2020-2004,P-3401,2020-06-11,2020-06-15,"pump crackling, flow swinging, suction low",Cleared suction restriction; verified NPSH.,2.8
WO-2020-2006,P-3401,2020-06-12,2020-06-12,"Drive-end bearing exhibiting elevated noise and vibration on routine survey; wear suspected, replacement planned.",Replaced DE/NDE bearings.,7.4
WO-2020-2009,P-3402,2020-06-18,2020-06-18,attended complaint found nothing wrong equipment ok,Closed after inspection.,0.6
WO-2020-2014,P-3105,2020-06-18,2020-06-18,"head dropping slow, impeller worn, wear rings gone",Renewed impeller; clearances reset.,14.9
WO-2020-2045,E-3210,2020-06-23,2020-06-26,"cleaned area, tightened fittings, ok",Closed after inspection.,1.7
WO-2020-2071,TK-4201,2020-07-03,2020-07-07,Preventive maintenance carried out per schedule; equipment found in satisfactory condition.,Closed after inspection.,0.0
WO-2020-2022,P-2202,2020-07-07,2020-07-09,Packing leak noted. Action: adjust gland. Status: monitor.,Renewed packing rings.,2.9
WO-2020-2000,P-3401,2020-07-26,2020-07-27,"Seal flush flow found restricted; flushing line and orifice cleaned, flush pressure restored to spec.",Backflushed flush line; strainer cleaned.,6.4
WO-2020-2059,C-4210,2020-08-07,2020-08-07,"overall vib high 7 mm/s, cause tbd, monitoring",Logged vibration; continued trending.,1.6
WO-2020-2038,M-4101,2020-08-08,2020-08-08,motor making noise bearing on non drive end bad replaced both bearings,Replaced motor bearings.,13.1
WO-2020-2066,CV-3201,2020-08-11,2020-08-12,control valve not closing tight passing across seat debris found lapped seat,Replaced valve trim.,4.9
WO-2020-2036,M-3301,2020-08-19,2020-08-20,"IR low <1Mohm, earth fault, motor isolated",Dried out windings; IR restored.,19.1
